areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,2020-07-13,497,250007
nation,Northern Ireland,N92000002,2020-07-13,16,5788
nation,Scotland,S92000003,2020-07-13,6,18365
nation,Wales,W92000004,2020-07-13,11,15973
nation,England,E92000001,2020-07-12,615,249510
nation,Northern Ireland,N92000002,2020-07-12,,5772
nation,Scotland,S92000003,2020-07-12,19,18359
nation,Wales,W92000004,2020-07-12,16,15962
nation,England,E92000001,2020-07-11,806,248895
nation,Northern Ireland,N92000002,2020-07-11,,5772
nation,Scotland,S92000003,2020-07-11,7,18340
nation,Wales,W92000004,2020-07-11,7,15946
nation,England,E92000001,2020-07-10,480,248089
nation,Northern Ireland,N92000002,2020-07-10,4,5772
nation,Scotland,S92000003,2020-07-10,18,18333
nation,Wales,W92000004,2020-07-10,10,15939
nation,England,E92000001,2020-07-09,617,247609
nation,Northern Ireland,N92000002,2020-07-09,3,5768
nation,Scotland,S92000003,2020-07-09,6,18315
nation,Wales,W92000004,2020-07-09,16,15929
nation,England,E92000001,2020-07-08,606,246992
nation,Northern Ireland,N92000002,2020-07-08,4,5765
nation,Scotland,S92000003,2020-07-08,7,18309
nation,Wales,W92000004,2020-07-08,13,15913
nation,England,E92000001,2020-07-07,572,246386
nation,Northern Ireland,N92000002,2020-07-07,5,5761
nation,Scotland,S92000003,2020-07-07,2,18302
nation,Wales,W92000004,2020-07-07,2,15900
nation,England,E92000001,2020-07-06,331,245814
nation,Northern Ireland,N92000002,2020-07-06,,5756
nation,Scotland,S92000003,2020-07-06,4,18300
nation,Wales,W92000004,2020-07-06,8,15898
nation,England,E92000001,2020-07-05,492,245483
nation,Northern Ireland,N92000002,2020-07-05,,5747
nation,Scotland,S92000003,2020-07-05,9,18296
nation,Wales,W92000004,2020-07-05,15,15890
nation,England,E92000001,2020-07-04,579,244991
nation,Northern Ireland,N92000002,2020-07-04,,5747
nation,Scotland,S92000003,2020-07-04,11,18287
nation,Wales,W92000004,2020-07-04,34,15875
nation,England,E92000001,2020-07-03,502,244412
nation,Northern Ireland,N92000002,2020-07-03,4,5747
nation,Scotland,S92000003,2020-07-03,12,18276
nation,Wales,W92000004,2020-07-03,26,15841
nation,England,E92000001,2020-07-02,523,243910
nation,Northern Ireland,N92000002,2020-07-02,7,5768
nation,Scotland,S92000003,2020-07-02,5,18264
nation,Wales,W92000004,2020-07-02,41,15815
nation,England,E92000001,2020-07-01,177,160764
nation,Northern Ireland,N92000002,2020-07-01,1,5761
nation,Scotland,S92000003,2020-07-01,8,18259
nation,Wales,W92000004,2020-07-01,32,15775
nation,England,E92000001,2020-06-30,196,160587
nation,Northern Ireland,N92000002,2020-06-30,3,5760
nation,Scotland,S92000003,2020-06-30,10,18251
nation,Wales,W92000004,2020-06-30,26,15743
nation,England,E92000001,2020-06-29,99,160391
nation,Northern Ireland,N92000002,2020-06-29,6,5757
nation,Scotland,S92000003,2020-06-29,5,18241
nation,Wales,W92000004,2020-06-29,116,15717
nation,England,E92000001,2020-06-28,142,160292
nation,Northern Ireland,N92000002,2020-06-28,1,5751
nation,Scotland,S92000003,2020-06-28,8,18236
nation,Wales,W92000004,2020-06-28,25,15602
nation,England,E92000001,2020-06-27,192,160150
nation,Northern Ireland,N92000002,2020-06-27,2,5750
nation,Scotland,S92000003,2020-06-27,15,18228
nation,Wales,W92000004,2020-06-27,46,15577
nation,England,E92000001,2020-06-26,175,159958
nation,Northern Ireland,N92000002,2020-06-26,4,5748
nation,Scotland,S92000003,2020-06-26,17,18213
nation,Wales,W92000004,2020-06-26,65,15531
nation,England,E92000001,2020-06-25,261,159696
nation,Northern Ireland,N92000002,2020-06-25,1,4874
nation,Scotland,S92000003,2020-06-25,5,18196
nation,Wales,W92000004,2020-06-25,125,15466
nation,England,E92000001,2020-06-24,107,159435
nation,Northern Ireland,N92000002,2020-06-24,2,4873
nation,Scotland,S92000003,2020-06-24,9,18191
nation,Wales,W92000004,2020-06-24,47,15341
nation,England,E92000001,2020-06-23,210,159328
nation,Northern Ireland,N92000002,2020-06-23,0,4871
nation,Scotland,S92000003,2020-06-23,12,18182
nation,Wales,W92000004,2020-06-23,51,15295
nation,England,E92000001,2020-06-22,178,159118
nation,Northern Ireland,N92000002,2020-06-22,1,4871
nation,Scotland,S92000003,2020-06-22,14,18170
nation,Wales,W92000004,2020-06-22,71,15197
nation,England,E92000001,2020-06-21,215,158940
nation,Northern Ireland,N92000002,2020-06-21,4,4870
nation,Scotland,S92000003,2020-06-21,26,18156
nation,Wales,W92000004,2020-06-21,100,15126
nation,England,E92000001,2020-06-20,324,158725
nation,Northern Ireland,N92000002,2020-06-20,0,4866
nation,Scotland,S92000003,2020-06-20,26,18130
nation,Wales,W92000004,2020-06-20,25,15026
nation,England,E92000001,2020-06-19,323,158401
nation,Northern Ireland,N92000002,2020-06-19,3,4866
nation,Scotland,S92000003,2020-06-19,27,18104
nation,Wales,W92000004,2020-06-19,31,15001
nation,England,E92000001,2020-06-18,281,158078
nation,Northern Ireland,N92000002,2020-06-18,1,4863
nation,Scotland,S92000003,2020-06-18,11,18077
nation,Wales,W92000004,2020-06-18,48,14970
nation,England,E92000001,2020-06-17,252,157797
nation,Northern Ireland,N92000002,2020-06-17,8,4862
nation,Scotland,S92000003,2020-06-17,21,18066
